AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
,0.00,,,156,25.49,64,100,801,7.85,22,-0.01,,SmoothCondition,LowCongestionCondition,1
,0.00,,,156,25.49,64,100,803,7.89,22,-0.02,,SmoothCondition,LowCongestionCondition,1
,,,,273,25.88,64,100,800,7.77,22,-0.03,,SmoothCondition,LowCongestionCondition,1
,,,,391,25.88,64,100,798,7.77,22,-0.03,,SmoothCondition,LowCongestionCondition,1
,0.00,,,469,25.88,65,100,798,7.94,22,-0.03,,SmoothCondition,LowCongestionCondition,1
,1.58,,1.58,586,25.88,65,100,799,7.90,21,-0.04,,SmoothCondition,LowCongestionCondition,1
,0.90,,-0.68,742,25.49,65,100,798,7.90,22,-0.05,,SmoothCondition,LowCongestionCondition,1
,1.58,,0.68,937,26.27,65,100,799,7.80,22,-0.05,,SmoothCondition,LowCongestionCondition,1
,1.35,,-0.23,1.055,25.88,65,100,801,08.06,22,-0.04,,SmoothCondition,LowCongestionCondition,1
2.70,1.58,,0.23,1.094,25.49,65,100,802,7.53,22,-0.04,,SmoothCondition,LowCongestionCondition,1
1.80,0.00,,-1.58,1.211,25.49,65,101,799,7.61,22,-0.04,,SmoothCondition,LowCongestionCondition,1
-2.20,0.45,,0.45,1.367,25.88,65,100,799,7.82,21,-0.04,,SmoothCondition,LowCongestionCondition,1
-3.00,0.00,,-0.45,1.445,25.49,65,100,798,7.96,22,-0.04,,SmoothCondition,LowCongestionCondition,1
-2.80,0.00,,0.00,168,25.10,65,100,806,08.02,22,-0.05,,SmoothCondition,LowCongestionCondition,1
-2.60,0.00,,0.00,1.758,24.31,65,100,796,08.01,22,-0.05,,SmoothCondition,LowCongestionCondition,1
-2.20,0.00,,0.00,1.367,29.02,65,100,764,7.92,22,-0.04,,SmoothCondition,LowCongestionCondition,1
-0.80,1.58,,1.58,1.719,30.20,65,100,903,7.48,22,-0.05,,SmoothCondition,LowCongestionCondition,1
-5.90,0.68,,-0.90,1.758,24.71,65,101,834,8.69,22,-0.04,,SmoothCondition,LowCongestionCondition,1
-9.30,0.45,,-0.23,1.836,24.31,65,101,801,08.09,22,-0.05,,SmoothCondition,LowCongestionCondition,1
-9.60,0.00,,-0.45,1.953,25.88,65,101,807,08.08,22,-0.05,,SmoothCondition,LowCongestionCondition,1
-9.70,0.00,,0.00,1.094,39.22,65,100,1195,7.77,22,-0.02,,SmoothCondition,LowCongestionCondition,1
-9.20,0.00,,0.00,-273,40.78,65,101,1109,10.02,22,0.04,,SmoothCondition,LowCongestionCondition,1
-11.00,2.70,,2.70,-351,56.86,65,102,1251,8.13,21,0.08,,SmoothCondition,LowCongestionCondition,1
-10.80,6.53,,3.83,-703,33.33,65,102,1582,9.20,23,0.07,38.06,SmoothCondition,LowCongestionCondition,1
-10.70,8.78,,2.25,-1.406,29.80,65,104,1994,11.30,22,0.11,35.91,SmoothCondition,LowCongestionCondition,1
-9.30,11.03,,2.25,-1.015,0.00,65,107,1083,17.19,23,0.12,37.36,SmoothCondition,LowCongestionCondition,1
-4.00,12.61,,1.58,-1.797,72.55,65,105,1227,8.48,25,0.12,30.73,SmoothCondition,LowCongestionCondition,1
-1.50,14.41,,1.80,-207,45.88,65,107,1374,13.23,23,0.14,29.58,SmoothCondition,LowCongestionCondition,1
-0.70,16.21,,1.80,-1.992,23.53,65,103,1532,10.64,23,0.19,26.91,SmoothCondition,LowCongestionCondition,1
-0.90,18.01,,1.80,-1.758,19.61,65,101,1545,9.22,22,0.18,23.99,SmoothCondition,LowCongestionCondition,1
-0.80,20.04,,02.03,-1.211,0.00,66,101,1434,9.53,22,0.14,22.13,SmoothCondition,LowCongestionCondition,1
1.40,20.49,,0.45,-156,0.00,66,102,1434,13.47,22,0.09,22.15,SmoothCondition,LowCongestionCondition,1
1.30,17.56,,-2.93,977,09.02,66,102,893,11.35,23,-0.02,22.01,SmoothCondition,LowCongestionCondition,1
1.10,14.41,,-3.15,1.055,23.14,66,101,870,5.16,21,-0.05,20.51,SmoothCondition,LowCongestionCondition,1
-0.10,11.03,,-3.38,547,29.41,66,100,1231,4.70,19,-0.07,20.20,SmoothCondition,LowCongestionCondition,1
-0.20,8.33,,-2.70,195,44.31,66,106,1872,11.15,19,0.00,21.02,SmoothCondition,LowCongestionCondition,1
-0.30,9.91,,1.58,-664,4.31,66,111,1250,21.68,23,0.03,21.99,SmoothCondition,LowCongestionCondition,1
-0.40,12.61,,2.70,-1.758,78.43,66,107,1271,10.38,25,0.08,22.14,SmoothCondition,LowCongestionCondition,1
-0.30,15.54,,2.93,-2.461,59.22,66,114,1555,14.68,23,0.13,22.46,SmoothCondition,LowCongestionCondition,1
-0.40,19.82,,4.28,-2.969,24.71,66,113,1674,18.40,24,0.14,22.76,SmoothCondition,LowCongestionCondition,1
-0.70,21.84,,02.03,-2.695,41.18,66,111,1807,18.25,24,0.12,22.59,SmoothCondition,LowCongestionCondition,1
-0.70,24.09,,2.25,-1.367,34.12,66,115,1939,18.25,23,0.09,22.59,SmoothCondition,LowCongestionCondition,1
-0.20,25.67,,1.58,-1.406,25.10,66,112,2021,15.62,24,0.08,22.39,SmoothCondition,LowCongestionCondition,1
-0.20,27.47,,1.80,-1.211,20.78,67,109,2052,14.75,23,0.05,22.05,SmoothCondition,LowCongestionCondition,1
0.00,28.37,,0.90,312,15.29,67,108,2028,14.88,23,0.02,21.75,SmoothCondition,LowCongestionCondition,1
0.30,28.15,,-0.23,39,13.33,67,106,1958,13.47,23,0.04,21.37,SmoothCondition,LowCongestionCondition,1
1.00,27.70,,-0.45,1.523,14.51,67,105,1905,13.26,22,0.03,21.05,SmoothCondition,LowCongestionCondition,1
1.40,26.80,,-0.90,2.461,13.73,67,105,1831,13.04,22,0.08,20.78,SmoothCondition,LowCongestionCondition,1
1.70,25.67,,-1.13,1.797,12.16,67,103,1732,12.02,21,-0.02,20.50,SmoothCondition,LowCongestionCondition,1
1.90,24.54,,-1.13,469,25.10,67,103,1708,11.57,21,-0.07,20.25,SmoothCondition,LowCongestionCondition,1
2.10,23.87,,-0.68,78,21.96,67,103,1708,10.96,21,-0.02,20.00,SmoothCondition,LowCongestionCondition,1
1.70,23.64,,-0.23,-82,18.43,67,103,1729,10.98,21,0.04,19.75,SmoothCondition,LowCongestionCondition,1
